Survived,Age,SibSp,Parch,Fare
1,0.42,0,1,8.5167
1,0.67,1,1,14.5
1,0.75,2,1,19.2583
1,0.75,2,1,19.2583
1,0.83,0,2,29
1,0.83,1,1,18.75
1,0.92,1,2,151.55
0,1,4,1,39.6875
1,1,1,1,11.1333
1,1,2,1,39
1,1,0,2,15.7417
0,1,5,2,46.9
1,1,1,2,20.575
1,1,0,2,37.0042
0,2,3,1,21.075
0,2,4,1,29.125
0,2,4,2,31.275
0,2,0,1,10.4625
0,2,1,2,151.55
1,2,1,1,26
1,2,0,1,12.2875
1,2,1,1,26
0,2,3,2,27.9
0,2,4,1,39.6875
1,3,1,2,41.5792
1,3,1,1,26
1,3,4,2,31.3875
1,3,1,1,15.9
0,3,3,1,21.075
1,3,1,1,18.75
1,4,1,1,16.7
0,4,3,2,27.9
0,4,4,1,29.125
1,4,0,2,22.025
1,4,0,2,81.8583
1,4,2,1,39
1,4,0,1,13.4167
1,4,1,1,23
0,4,4,2,31.275
1,4,1,1,11.1333
1,5,1,2,27.75
1,5,4,2,31.3875
1,5,2,1,19.2583
1,5,0,0,12.475
1,6,0,1,33
1,6,0,1,12.475
0,6,4,2,31.275
0,7,4,1,39.6875
0,7,4,1,29.125
1,7,0,2,26.25
0,8,3,1,21.075
1,8,0,2,26.25
1,8,1,1,36.75
0,8,4,1,29.125
0,9,2,2,34.375
1,9,0,2,20.525
0,9,4,2,31.3875
0,9,5,2,46.9
1,9,1,1,15.9
0,9,4,2,31.275
0,9,3,2,27.9
0,9,1,1,15.2458
0,10,0,2,24.15
0,10,3,2,27.9
0,11,5,2,46.9
0,11,4,2,31.275
0,11,0,0,18.7875
1,11,1,2,120
1,12,1,0,11.2417
1,13,0,1,19.5
1,13,0,0,7.2292
1,14,1,0,30.0708
0,14,0,0,7.8542
1,14,1,0,11.2417
1,14,1,2,120
0,14,5,2,46.9
0,14,4,1,39.6875
0,14.5,1,0,14.4542
1,15,0,0,8.0292
0,15,1,1,7.2292
1,15,0,1,211.3375
1,15,1,0,14.4542
1,15,0,0,7.225
0,16,5,2,46.9
0,16,1,3,34.375
0,16,0,0,9.2167
1,16,0,0,7.7333
1,16,0,0,7.75
1,16,0,0,8.05
0,16,4,1,39.6875
0,16,0,0,9.5
1,16,0,1,57.9792
0,16,2,0,18
1,16,0,0,86.5
0,16,0,0,8.05
0,16,1,1,20.25
0,16,0,0,7.775
0,16,0,0,26
0,16,0,0,10.5
1,16,0,1,39.4
1,17,4,2,7.925
1,17,0,0,10.5
